# rxnID	MNXID	met_model	met_standard_name	Smiles	genes	refID	Kcat value (substrate first)
r_0003_fwd	MNXM2757;MNXM8	(R,R)-2,3-butanediol;NAD	(R,R)-butane-2,3-diol;NAD(+)	C[C@@H](O)[C@@H](C)O;NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000034990_Candida_corydali@Seq_1031	chebi:16982;chebi:57540	20.5309;20.8802
r_2195_rvs	MNXM732701;MNXM728294;MNXM11	myristoyl-CoA;AMP;diphosphate	tetradecanoyl-CoA;AMP;diphosphate	CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O;OP([O-])(=O)OP([O-])([O-])=O	yHMPu5000034990_Candida_corydali@Seq_4813	chebi:57385;chebi:456215;chebi:33019	7.8754;9.7478;5.0514
r_2196_fwd	MNXM727276;MNXM3;MNXM108	coenzyme A;ATP;palmitate	CoA;ATP;hexadecanoate	CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCCCCCCCCCCCC([O-])=O	yHMPu5000034990_Candida_corydali@Seq_4813	chebi:57287;chebi:30616;chebi:7896	11.2345;8.3908;6.0863
r_2196_rvs	MNXM740979;MNXM728294;MNXM11	palmitoyl-CoA;AMP;diphosphate	hexadecanoyl-CoA;AMP;diphosphate	CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O;OP([O-])(=O)OP([O-])([O-])=O	yHMPu5000034990_Candida_corydali@Seq_4813	chebi:57379;chebi:456215;chebi:33019	7.7858;9.7478;5.0514
r_2197_fwd	MNXM727276;MNXM3;MNXM730223	coenzyme A;ATP;palmitoleate	CoA;ATP;(9Z)-hexadecenoate	CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCC\C=C/CCCCCCCC([O-])=O	yHMPu5000034990_Candida_corydali@Seq_4813	chebi:57287;chebi:30616;chebi:32372	11.2345;8.3908;5.8967
r_2197_rvs	MNXM738540;MNXM728294;MNXM11	palmitoleoyl-CoA(4-);AMP;diphosphate	(9Z)-hexadecenoyl-CoA;AMP;diphosphate	CCCCCC\C=C/CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O;OP([O-])(=O)OP([O-])([O-])=O	yHMPu5000034990_Candida_corydali@Seq_4813	chebi:61540;chebi:456215;chebi:33019	7.7520;9.7478;5.0514
r_2198_fwd	MNXM727276;MNXM3;MNXM236	coenzyme A;ATP;stearate	CoA;ATP;octadecanoate	CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCCCCCCCCCCCCCC([O-])=O	yHMPu5000034990_Candida_corydali@Seq_4813	chebi:57287;chebi:30616;chebi:25629	11.2345;8.3908;6.1675
r_2198_rvs	MNXM733341;MNXM728294;MNXM11	stearoyl-CoA;AMP;diphosphate	octadecanoyl-CoA;AMP;diphosphate	CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O;OP([O-])(=O)OP([O-])([O-])=O	yHMPu5000034990_Candida_corydali@Seq_4813	chebi:57394;chebi:456215;chebi:33019	7.7051;9.7478;5.0514
r_2199_fwd	MNXM727276;MNXM3;MNXM727011	coenzyme A;ATP;oleate	CoA;ATP;(9Z)-octadecenoate	CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCCCC\C=C/CCCCCCCC([O-])=O	yHMPu5000034990_Candida_corydali@Seq_4813	chebi:57287;chebi:30616;chebi:30823	11.2345;8.3908;5.8744
r_2199_rvs	MNXM728570;MNXM728294;MNXM11	oleoyl-CoA;AMP;diphosphate	(9Z)-octadecenoyl-CoA;AMP;diphosphate	CCCCCCCC\C=C/CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O;OP([O-])(=O)OP([O-])([O-])=O	yHMPu5000034990_Candida_corydali@Seq_4813	chebi:57387;chebi:456215;chebi:33019	7.6719;9.7478;5.0514
r_2200_fwd	MNXM727276;MNXM3;MNXM402	coenzyme A;ATP;laurate	CoA;ATP;dodecanoate	CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCCCCCCCC([O-])=O	yHMPu5000034990_Candida_corydali@Seq_4813	chebi:57287;chebi:30616;chebi:18262	11.2345;8.3908;5.8512
r_2200_rvs	MNXM11;MNXM728294;MNXM734852	diphosphate;AMP;lauroyl-CoA	diphosphate;AMP;dodecanoyl-CoA	OP([O-])(=O)OP([O-])([O-])=O;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12	yHMPu5000034990_Candida_corydali@Seq_4813	chebi:33019;chebi:456215;chebi:57375	5.0514;9.7478;7.9756
r_2201_fwd	MNXM727276;MNXM3;MNXM314	coenzyme A;ATP;myristate	CoA;ATP;tetradecanoate	CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCCCCCCCCCC([O-])=O	yHMPu5000034990_Candida_corydali@Seq_4813	chebi:57287;chebi:30616;chebi:30807	11.2345;8.3908;5.9840
r_2201_rvs	MNXM11;MNXM728294;MNXM732701	diphosphate;AMP;myristoyl-CoA	diphosphate;AMP;tetradecanoyl-CoA	OP([O-])(=O)OP([O-])([O-])=O;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12	yHMPu5000034990_Candida_corydali@Seq_4813	chebi:33019;chebi:456215;chebi:57385	5.0514;9.7478;7.8754
r_2202_fwd	MNXM727276;MNXM3;MNXM108	coenzyme A;ATP;palmitate	CoA;ATP;hexadecanoate	CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCCCCCCCCCCCC([O-])=O	yHMPu5000034990_Candida_corydali@Seq_4813	chebi:57287;chebi:30616;chebi:7896	11.2345;8.3908;6.0863
r_2202_rvs	MNXM11;MNXM728294;MNXM740979	diphosphate;AMP;palmitoyl-CoA	diphosphate;AMP;hexadecanoyl-CoA	OP([O-])(=O)OP([O-])([O-])=O;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12	yHMPu5000034990_Candida_corydali@Seq_4813	chebi:33019;chebi:456215;chebi:57379	5.0514;9.7478;7.7858
r_2203_fwd	MNXM727276;MNXM3;MNXM730223	coenzyme A;ATP;palmitoleate	CoA;ATP;(9Z)-hexadecenoate	CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCC\C=C/CCCCCCCC([O-])=O	yHMPu5000034990_Candida_corydali@Seq_4813	chebi:57287;chebi:30616;chebi:32372	11.2345;8.3908;5.8967
r_2203_rvs	MNXM11;MNXM728294;MNXM738540	diphosphate;AMP;palmitoleoyl-CoA(4-)	diphosphate;AMP;(9Z)-hexadecenoyl-CoA	OP([O-])(=O)OP([O-])([O-])=O;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCC\C=C/CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12	yHMPu5000034990_Candida_corydali@Seq_4813	chebi:33019;chebi:456215;chebi:61540	5.0514;9.7478;7.7520
r_2204_fwd	MNXM727276;MNXM3;MNXM236	coenzyme A;ATP;stearate	CoA;ATP;octadecanoate	CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCCCCCCCCCCCCCC([O-])=O	yHMPu5000034990_Candida_corydali@Seq_4813	chebi:57287;chebi:30616;chebi:25629	11.2345;8.3908;6.1675
r_2204_rvs	MNXM11;MNXM728294;MNXM733341	diphosphate;AMP;stearoyl-CoA	diphosphate;AMP;octadecanoyl-CoA	OP([O-])(=O)OP([O-])([O-])=O;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12	yHMPu5000034990_Candida_corydali@Seq_4813	chebi:33019;chebi:456215;chebi:57394	5.0514;9.7478;7.7051
r_2205_fwd	MNXM727276;MNXM3;MNXM727011	coenzyme A;ATP;oleate	CoA;ATP;(9Z)-octadecenoate	CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCCCC\C=C/CCCCCCCC([O-])=O	yHMPu5000034990_Candida_corydali@Seq_4813	chebi:57287;chebi:30616;chebi:30823	11.2345;8.3908;5.8744
r_2205_rvs	MNXM11;MNXM728294;MNXM728570	diphosphate;AMP;oleoyl-CoA	diphosphate;AMP;(9Z)-octadecenoyl-CoA	OP([O-])(=O)OP([O-])([O-])=O;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCCCC\C=C/CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12	yHMPu5000034990_Candida_corydali@Seq_4813	chebi:33019;chebi:456215;chebi:57387	5.0514;9.7478;7.6719
r_2206_1_fwd	MNXM727276;MNXM3;MNXM730223	coenzyme A;ATP;palmitoleate	CoA;ATP;(9Z)-hexadecenoate	CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCC\C=C/CCCCCCCC([O-])=O	yHMPu5000034990_Candida_corydali@Seq_1265	chebi:57287;chebi:30616;chebi:32372	9.0878;6.7876;4.6996
r_2206_1_rvs	MNXM728294;MNXM11;MNXM738540	AMP;diphosphate;palmitoleoyl-CoA(4-)	AMP;diphosphate;(9Z)-hexadecenoyl-CoA	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O;OP([O-])(=O)OP([O-])([O-])=O;CCCCCC\C=C/CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12	yHMPu5000034990_Candida_corydali@Seq_1265	chebi:456215;chebi:33019;chebi:61540	7.8854;6.9446;5.7949
r_2206_2_fwd	MNXM727276;MNXM3;MNXM730223	coenzyme A;ATP;palmitoleate	CoA;ATP;(9Z)-hexadecenoate	CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCC\C=C/CCCCCCCC([O-])=O	yHMPu5000034990_Candida_corydali@Seq_276	chebi:57287;chebi:30616;chebi:32372	6.6540;6.2379;4.3330
r_2206_2_rvs	MNXM728294;MNXM11;MNXM738540	AMP;diphosphate;palmitoleoyl-CoA(4-)	AMP;diphosphate;(9Z)-hexadecenoyl-CoA	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O;OP([O-])(=O)OP([O-])([O-])=O;CCCCCC\C=C/CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12	yHMPu5000034990_Candida_corydali@Seq_276	chebi:456215;chebi:33019;chebi:61540	8.7545;4.3401;4.5003
r_2206_3_fwd	MNXM727276;MNXM3;MNXM730223	coenzyme A;ATP;palmitoleate	CoA;ATP;(9Z)-hexadecenoate	CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCC\C=C/CCCCCCCC([O-])=O	yHMPu5000034990_Candida_corydali@Seq_5200	chebi:57287;chebi:30616;chebi:32372	3.1528;3.8370;3.0283
r_2206_3_rvs	MNXM728294;MNXM11;MNXM738540	AMP;diphosphate;palmitoleoyl-CoA(4-)	AMP;diphosphate;(9Z)-hexadecenoyl-CoA	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O;OP([O-])(=O)OP([O-])([O-])=O;CCCCCC\C=C/CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12	yHMPu5000034990_Candida_corydali@Seq_5200	chebi:456215;chebi:33019;chebi:61540	4.8052;1.6176;3.1543
r_2206_4_fwd	MNXM727276;MNXM3;MNXM730223	coenzyme A;ATP;palmitoleate	CoA;ATP;(9Z)-hexadecenoate	CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCC\C=C/CCCCCCCC([O-])=O	yHMPu5000034990_Candida_corydali@Seq_840	chebi:57287;chebi:30616;chebi:32372	1.6600;2.1206;2.7169
r_2206_4_rvs	MNXM728294;MNXM11;MNXM738540	AMP;diphosphate;palmitoleoyl-CoA(4-)	AMP;diphosphate;(9Z)-hexadecenoyl-CoA	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O;OP([O-])(=O)OP([O-])([O-])=O;CCCCCC\C=C/CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12	yHMPu5000034990_Candida_corydali@Seq_840	chebi:456215;chebi:33019;chebi:61540	2.7769;1.5897;2.3064
r_2207_1_fwd	MNXM727276;MNXM3;MNXM236	coenzyme A;ATP;stearate	CoA;ATP;octadecanoate	CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCCCCCCCCCCCCCC([O-])=O	yHMPu5000034990_Candida_corydali@Seq_1265	chebi:57287;chebi:30616;chebi:25629	9.0878;6.7876;4.4925
r_2207_1_rvs	MNXM733341;MNXM728294;MNXM11	stearoyl-CoA;AMP;diphosphate	octadecanoyl-CoA;AMP;diphosphate	CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O;OP([O-])(=O)OP([O-])([O-])=O	yHMPu5000034990_Candida_corydali@Seq_1265	chebi:57394;chebi:456215;chebi:33019	5.7292;7.8854;6.9446
r_2207_2_fwd	MNXM727276;MNXM3;MNXM236	coenzyme A;ATP;stearate	CoA;ATP;octadecanoate	CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCCCCCCCCCCCCCC([O-])=O	yHMPu5000034990_Candida_corydali@Seq_276	chebi:57287;chebi:30616;chebi:25629	6.6540;6.2379;3.0090
r_2207_2_rvs	MNXM733341;MNXM728294;MNXM11	stearoyl-CoA;AMP;diphosphate	octadecanoyl-CoA;AMP;diphosphate	CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O;OP([O-])(=O)OP([O-])([O-])=O	yHMPu5000034990_Candida_corydali@Seq_276	chebi:57394;chebi:456215;chebi:33019	3.8409;8.7545;4.3401
r_2207_3_fwd	MNXM727276;MNXM3;MNXM236	coenzyme A;ATP;stearate	CoA;ATP;octadecanoate	CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCCCCCCCCCCCCCC([O-])=O	yHMPu5000034990_Candida_corydali@Seq_5200	chebi:57287;chebi:30616;chebi:25629	3.1528;3.8370;2.4987
r_2207_3_rvs	MNXM733341;MNXM728294;MNXM11	stearoyl-CoA;AMP;diphosphate	octadecanoyl-CoA;AMP;diphosphate	CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O;OP([O-])(=O)OP([O-])([O-])=O	yHMPu5000034990_Candida_corydali@Seq_5200	chebi:57394;chebi:456215;chebi:33019	2.6436;4.8052;1.6176
r_2207_4_fwd	MNXM727276;MNXM3;MNXM236	coenzyme A;ATP;stearate	CoA;ATP;octadecanoate	CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCCCCCCCCCCCCCC([O-])=O	yHMPu5000034990_Candida_corydali@Seq_840	chebi:57287;chebi:30616;chebi:25629	1.6600;2.1206;2.5206
r_2207_4_rvs	MNXM733341;MNXM728294;MNXM11	stearoyl-CoA;AMP;diphosphate	octadecanoyl-CoA;AMP;diphosphate	CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O;OP([O-])(=O)OP([O-])([O-])=O	yHMPu5000034990_Candida_corydali@Seq_840	chebi:57394;chebi:456215;chebi:33019	2.2716;2.7769;1.5897
r_2208_1_fwd	MNXM727276;MNXM3;MNXM727011	coenzyme A;ATP;oleate	CoA;ATP;(9Z)-octadecenoate	CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS;Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O;CCCCCCCC\C=C/CCCCCCCC([O-])=O	yHMPu5000034990_Candida_corydali@Seq_1265	chebi:57287;chebi:30616;chebi:30823	9.0878;6.7876;4.6818
r_2208_1_rvs	MNXM728294;MNXM11;MNXM728570	AMP;diphosphate;oleoyl-CoA	AMP;diphosphate;(9Z)-octadecenoyl-CoA	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O;OP([O-])(=O)OP([O-])([O-])=O;CCCCCCCC\C=C/CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12	yHMPu5000034990_Candida_corydali@Seq_1265	chebi:456215;chebi:33019;chebi:57387	7.8854;6.9446;5.7150
